what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543831743
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543834518
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543836329
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543839045
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543840297
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1483543849411
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483543852774
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1483543853195
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1483543854926
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1483543860540
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483543868816
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483543870038
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1483543870995
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483543873739
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1483543874512
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1483543875710
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483543880433
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543884920
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543886117
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483543888203
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1483543889374
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1483543891974
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1483543895544
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543900254
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543900579
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1483543903255
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543906687
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.rename.element",1483543914275
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543914349
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483543917481
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483543917873
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543929688
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543935762
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543936581
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543977513
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543979275
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543981959
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1483543988005
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483543989103
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483543989468
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483544052583
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483544614686
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483544618215
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483544619864
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483544620138
